state,office,district,candidate_medsl,candidate_harvard,party_detailed,issue,writein,fixed error?
NEW JERSEY,US SENATE,NEW JERSEY,FRANK PALLONE,FRANK PALLONE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,FREE PALESTINE,FREE PALESTINE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,GALE CARON,GALE CARON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,GEORGE LOWENBERG JR,"GEORGE LOWENBERG, JR.",,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,GREGORY KING,GREGORY KING,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,HARRY CICMA,HARRY CICMA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,HARRY SMITH,HARRY SMITH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,HASAN MANSOUR,HASAN MANSOUR,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,HECTOR OSEGUERA,HECTOR OSEGUERA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,HELEN ROSARIO,HELEN ROSARIO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,HERBERT SHAW,HERBERT SHAW,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,HIRSCH SINGH,HIRSCH SINGH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,HIRSH SINGH,HIRSH SINGH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,IDK,,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JACOB JABLONKA,JACOB JABLONKA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JADE J BLACK,JADE J. BLACK,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JAKE R GREEN,JAKE R. GREEN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JAMES CASEY,JAMES CASEY,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JAMES COLEMAN,JAMES COLEMAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JAMES JOHANSEN,JAMES JOHANSEN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JAMES K WEBBER,JAMES K. WEBBER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JAMES L SERRUTO,JAMES L. SERRUTO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JANTE BAGH,JANTE BAGH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JEFFREY KIRVIN,JEFFREY KIRVIN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JEFFREY L GOLD,JEFFREY L. GOLD,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JEFFREY MOORE,JEFFREY MOORE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JEFFREY SCHEFFER,JEFFREY SCHEFFER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JESSE SUTTOR,JESSE SUTTOR,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JESSICA WAUGAMAN,JESSICA WAUGAMAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JESUS CHRIS,JESUS CHRIS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JESUS CHRIST,JESUS CHRIS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JIM ANZALDI,JIM ANZALDI,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JIM GOETZ,JIM GOETZ,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JIM HOUIS,JIM HOUIS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JIM SMITH,JIM SMITH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JINXIE PEPPERSON,JINXIE PEPPERSON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JO JORGENSON,JO JORGENSON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOE BIDEN,JOE BIDEN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOE GILLIGAN,JOE GILLIGAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOE ROGAN,JOE ROGAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOEL D MATALON,JOEL D. MATALON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOEY LESNER,JOEY LESNER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOHN DOE,JOHN DOE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOHN MC AFEE,JOHN MCAFEE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOHN MC CAIN,JOHN MCCAIN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOHN PIZZARELLI,JOHN PIZZARELLI,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOHNNY RODRIGUEZ,JOHNNY RODRIGUEZ,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOSE CERVINO,JOSE CERVINO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOSEPH CARLSON,JOSEPH CARLSON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOSEPH MURRAY,JOSEPH MURRAY,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOSH KITTS,JOSH KITTS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOYCE E MURPHY,JOYCE E. MURPHY,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JOYCE LEBON,JOYCE LEBON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JUSTIN AMASH,JUSTIN AMASH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,JUSTIN TURNER,JUSTIN TURNER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KANYE WEST,KANYE WEST,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KATHERINE MORALES,KATHERINE MORALES,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KEIRA MURPHY MARROTTE,KEIRA MURPHY MARROTTE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KEITH BARRY,KEITH BARRY,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KELLY HURLEY,KELLY HURLEY,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KERI GIANNOTTI,KERI GIANNOTTI,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KEVIN J O TOOLE,KEVIN J. O'TOOLE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KEVIN REED JR,"KEVIN REED, JR.",,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KLIMER C,KLIMER C,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,KRISPY KREME,KRISPY KREME,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LA VAR REYNOLDS,LAVAR REYNOLDS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LAMAR E MILLER,LAMAR E. MILLER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LARRY HAMM,LARRY HAMM,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LAURYN HILL,LAURYN HILL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LAWRENCE HAMM,LAWRENCE HAMM,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LAWRENCE HAMM2,LAWRENCE HAMM,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LEA SHERMAN,LEA SHERMAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LEONID MOREGN,LEONID MOREGN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LES CLAYPOOL,LES CLAYPOOL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LISA MC CORMICK,LISA MCCORMICK,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LORI LOMBARDI,LORI LOMBARDI,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LOUIS FARRAKHAN,LOUIS FARRAKHAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LUCAS MOHER,LUCAS MOHER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LUCAS SAMSON,LUCAS SAMSON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LUIS E VERGARA,LUIS E. VERGARA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LUIS ED VERGARA,LUIS ED VERGARA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LUIS QUINTANA,LUIS QUINTANA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,LUIS VERGARA,LUIS VERGARA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MADELYN R HOFFMAN,MADELYN R. HOFFMAN,GREEN,,,
NEW JERSEY,US SENATE,NEW JERSEY,MAMIE BRANCH,MAMIE BRANCH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MANISH SHAH,MANISH SHAH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MARCUS EDWARDS,MARCUS EDWARDS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MARIAH CAREY,MARIAH CAREY,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MARIANNE WILLIAMSON,MARIANNE WILLIAMSON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MARK C CASTRO,MARK C. CASTRO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MARK E NIKIPER,MARK E. NIKIPER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MARK SANFORD,MARK SANFORD,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MARTIN BRODEUR,MARTIN BRODEUR,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MARY ANNE HESTER,MARY ANNE HESTER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MARY LAYMAN,MARY LAYMAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MAURICIO SAMSON,MAURICIO SAMSON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MBYE FAAL,MBYE FAAL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAEL ANTONUCCI,MICHAEL ANTONUCCI,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAEL EKLADIOUS,MICHAEL EKLADIOUS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAEL F FACCONE,MICHAEL F. FACCONE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAEL J RUFO,MICHAEL J. RUFO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAEL JACKSON III,"MICHAEL JACKSON, III",,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAEL OLIVO,MICHAEL OLIVO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAEL SOBRESKI,MICHAEL SOBRESKI,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAEL W SMITH,MICHAEL W. SMITH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAEL WORRELL,MICHAEL WORRELL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHAELA SKELLEY,MICHAELA SKELLEY,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICHEAL BLOOMBERG,MICHEAL BLOOMBERG,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MICKEY MOUSE,MICKEY MOUSE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MIKE GELB,MIKE GELB,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MIKE HUNT,MIKE HUNT,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MIKE SHERRILL,MIKE SHERRILL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MIKIE SHERRILL,MIKIE SHERRILL,WRITEIN,,,
NEW JERSEY,US SENATE,NEW JERSEY,MINA EKLADIOUS,MINA EKLADIOUS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MIRA HECKMAN,MIRA HECKMAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MIRIAM A BURT,MIRIAM A. BURT,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MITT ROMNEY,MITT ROMNEY,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MIY TANG,MIY TANG,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MOHAMMED N KAHN,MOHAMMED N. KAHN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MOSHE Y COOPERSMITH,MOSHE Y. COOPERSMITH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MURRAY SABRIN,MURRAY SABRIN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,MYLES BURBANK,MYLES BURBANK,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,N A,,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NADA SELTZER,NADA SELTZER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NATANEL DAVID,NATANEL DAVID,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NATHAN BURRELL,NATHAN BURRELL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NELSON HERNANDEZ,NELSON HERNANDEZ,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NICOLAS SANIO,NICOLAS SANIO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NIDHI GOSALA,NIDHI GOSALA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NMC MADELYN R HOFFMAN,MADELYN R. HOFFMAN,GREEN,,,
NEW JERSEY,US SENATE,NEW JERSEY,NMC ROQUE ROCKY DE LA FUENTE,,,yes,,
NEW JERSEY,US SENATE,NEW JERSEY,NMF DON BLANKENSHIP,,,yes,,
NEW JERSEY,US SENATE,NEW JERSEY,NMG HOWIE HAWKINS,,,yes,,
NEW JERSEY,US SENATE,NEW JERSEY,NMH GLORIA ESTELA LA RIVA,,,yes,,
NEW JERSEY,US SENATE,NEW JERSEY,NO BODY,,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NO ONE,,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NO VOTE,NO VOTE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NON MADELYN R HOFFMAN,MADELYN R. HOFFMAN,GREEN,,,
NEW JERSEY,US SENATE,NEW JERSEY,NON VERONICA FERNANDEZ,VERONICA FERNANDEZ,INDEPENDENT,,,
NEW JERSEY,US SENATE,NEW JERSEY,NONE OF THESE,NONE OF THESE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NOUR AWAWDEH,NOUR AWAWDEH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NP3 DANIEL BURKE,,INDEPENDENT,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NP4 VERONICA FERNANDEZ,VERONICA FERNANDEZ,INDEPENDENT,,,
NEW JERSEY,US SENATE,NEW JERSEY,NP4 VERONICA FERNANDEZ,VERONICA FERNANDEZ,INDEPENDENT,,,
NEW JERSEY,US SENATE,NEW JERSEY,NP7 MADELYN R HOFFMAN,MADELYN R. HOFFMAN,GREEN,,,
NEW JERSEY,US SENATE,NEW JERSEY,NPC DANIEL BURKE,,INDEPENDENT,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,NPD VERONICA FERNANDEZ,VERONICA FERNANDEZ,INDEPENDENT,,,
NEW JERSEY,US SENATE,NEW JERSEY,NPE MADELYN R HOFFMAN,MADELYN R. HOFFMAN,GREEN,,,
NEW JERSEY,US SENATE,NEW JERSEY,OCTAVIAN MATHIS REPBULICAN,OCTAVIAN MATHIS REPBULICAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,OOG BRIAN REGAN,OOG BRIAN REGAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,PAMELA NICOLE JOHNSON,PAMELA NICOLE JOHNSON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,PATRICIA FLANAGAN,TRICIA FLANAGAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,PATRICK H RUNO SR,"PATRICK H. RUNO, SR.",,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,PATRICK J BURNS,PATRICK J. BURNS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,PERSONAL CHOICE,,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,R YAAKOV BENDER,R' YAAKOV BENDER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RAIN MAN,RAIN MAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RAMOND REDDIN,RAMOND REDDIN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RAS BARAKA,RAS BARAKA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RASHIDA TLAIB,RASHIDA TLAIB,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RAVINDER BHALLA,RAVINDER BHALLA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RAYMOND CRONK JR,"RAYMOND CRONK, JR.",,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,REMY BRANCATO,REMY BRANCATO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RENE VELASCO,RENE VELASCO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RENEE T NEWELL,RENEE T. NEWELL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RICHARD B VAIL,RICHARD B. VAIL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RICHARD MEDEZ,,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RICK E MERINO,RICK E. MERINO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RIK MEHTA,RIK MEHTA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RIKIN RIK MEHTA,RIKIN (RIK) MEHTA,REPUBLICAN,,,
NEW JERSEY,US SENATE,NEW JERSEY,ROBERT A LAPART JR,"ROBERT A. LAPART, JR.",,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,ROBERT FITZGERALD,ROBERT FITZGERALD,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,ROBERT P GEORGE,ROBERT P. GEORGE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,ROGER MCCRYSTAL,ROGER MCCRYSTAL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,ROMEO ROBERT,ROMEO ROBERT,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RON PAUL,RON PAUL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RONALD R OLIVERA,RONALD R. OLIVERA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RUDOLPH GIULIANI,RUDOLPH GIULIANI,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,RUTHY COSTILLO,RUTHY COSTILLO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SAINT JOSEPH,SAINT JOSEPH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SAIRA ZAFAR,SAIRA ZAFAR,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SALVATORE ANZALOUS,SALVATORE ANZALOUS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SAM SMITH,SAM SMITH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SAMANTHA COZTRERAS,SAMANTHA COZTRERAS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SARAH GREENHOUSE,SARAH GREENHOUSE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SCOTT DUXBURY JR,"SCOTT DUXBURY, JR.",,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SCOTT YOUNG,SCOTT YOUNG,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SERGIO HERNANDEZ,SERGIO HERNANDEZ,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SHANNON SULLIVAN,SHANNON SULLIVAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SHAQUILLE O NEAL,SHAQUILLE O'NEAL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SHAUN P FISTER,SHAUN P. FISTER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SINGH HIRSCH,SINGH HIRSCH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SOPHIE SACCAJWSA,SOPHIE SACCAJWSA,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,SPEEZ NUTSON,SPEEZ NUTSON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,STEPHANO CESPEDES,STEPHANO CESPEDES,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,STEPHEN MUSTILLO,STEPHEN MUSTILLO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,STEPHEN NAKROSS,STEPHEN NAKROSS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,STEVE COSKE,STEVE COSKE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,STEVEN DZITKO,STEVEN DZITKO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,STIFLER,STIFLER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TAMARA BARSIK,TAMARA BARSIK,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TAMMY DUCKWORTH,TAMMY DUCKWORTH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TERRENCE K WILLIAMS,TERRENCE K. WILLIAMS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,THE GHOST OF KARL MARX,THE GHOST OF KARL MARX,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,THE POBBLEBOOKS,THE POBBLEBOOKS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,THE ROCK,THE ROCK,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,THEATER,THEATER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,THOMAS KEAN SR,"THOMAS KEAN, SR.",,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,THOMAS P WILLIAMS,THOMAS P. WILLIAMS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TIE CHINAPO,TIE CHINAPO,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TOM RABBIT,TOM RABBIT,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TRICIA FLANAGAN,PATRICIA FLANAGAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TRISHA FLANAGAN,TRISHA FLANAGAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TRISTYN KRETKUS,TRISTYN KRETKUS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TULSA GABBARD,TULSA GABBARD,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,TYLER GAUL,TYLER GAUL,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,UNAR SHEIKH,UNAR SHEIKH,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,USA,,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,VERONICA FERNADEZ,VERONICA FERNADEZ,INDEPENDENT,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,VERONICA FERNANDEZ,VERONICA FERNANDEZ,INDEPENDENT,,,
NEW JERSEY,US SENATE,NEW JERSEY,VERONICA FERNANDEZ,VERONICA FERNANDEZ,INDEPENDENT,,,
NEW JERSEY,US SENATE,NEW JERSEY,VERONICA FERNANDEZ NBP,VERONICA FERNANDEZ,INDEPENDENT,,,
NEW JERSEY,US SENATE,NEW JERSEY,VERONICA FERNANDEZ NON,VERONICA FERNANDEZ,INDEPENDENT,,,
NEW JERSEY,US SENATE,NEW JERSEY,VICTOR GUZMAN,VICTOR GUZMAN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,VICTOR INUK GAVILANES,VICTOR INUK GAVILANES,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,VICTOR SALAZAR,VICTOR SALAZAR,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,VINNY LEONE,VINNY LEONE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,VLADIMIR LENIN,VLADIMIR LENIN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,WALTER CORPREW,WALTER CORPREW,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,WALTER HUDSON,WALTER HUDSON,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,WAYNE MILLER,WAYNE MILLER,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,WENDY BRYDE,WENDY BRYDE,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,WESLEY HUNT,WESLEY HUNT,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,WILHOFF TURKIN,WILHOFF TURKIN,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,WILLIAM GATES,WILLIAM GATES,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,YONGSON SACKS,YONGSON SACKS,,,yes,
NEW JERSEY,US SENATE,NEW JERSEY,YUDENIA MESA DOMINGUEZ,YUDENIA MESA DOMINGUEZ,,,yes,
NEW MEXICO,US PRESIDENT,FEDERAL,GLORIA LA RIVA,GLORIA LA RIVA,SOCIALIST WORKERS,,,
NEW MEXICO,US PRESIDENT,FEDERAL,SHEILA SAMM TITTLE,SHEILA SAMM TITTLE,CONSTITUTION,,,
OHIO,STATE HOUSE,51,JOHNNY HAMILTON,JOHNNY HAMILTON,INDEPENDENT,,,
OHIO,STATE HOUSE,53,THOMAS HELL,,,,,
OHIO,STATE HOUSE,74,MICHAEL JACKSON,,,,,
OHIO,STATE HOUSE,74,TED MC CLENEN,TED MCCLENEN,,,,
OHIO,STATE HOUSE,87,BRIDGET BOYLE,,,,,
OHIO,STATE HOUSE,87,DAVE YOST,,,,,
OHIO,STATE HOUSE,88,BEN GILLIG,,,,,
OHIO,STATE HOUSE,88,CHEYANE L THACKER,,,,,
OHIO,STATE HOUSE,88,JEFF RHOADES,,,,,
OHIO,STATE HOUSE,88,JOHN BING,,,,,
OHIO,STATE HOUSE,88,KEVIN P GROVER,,,,,
OHIO,STATE HOUSE,88,TAYLOR SAPPINGTON,,,,,
OHIO,STATE HOUSE,88,ZACKERY C PERKINS,,,,,
OHIO,STATE HOUSE,006,PHIL ROBINSON,PHIL ROBINSON,DEMOCRAT,,,
OHIO,STATE HOUSE,006,SHAY HAWKINS,SHAY HAWKINS,REPUBLICAN,,,
OHIO,STATE HOUSE,006,STATE REP 6TH DISTRICT,,,yes,,
OHIO,STATE HOUSE,007,JOAN T SWEENY,JOAN T. SWEENY,DEMOCRAT,,,
OHIO,STATE HOUSE,007,STATE REP 7TH DISTRICT,,,yes,,
OHIO,STATE HOUSE,007,THOMAS F PATTON,THOMAS F. PATTON,REPUBLICAN,,,
OHIO,STATE HOUSE,008,KENT SMITH,KENT SMITH,DEMOCRAT,,,
OHIO,STATE HOUSE,008,STATE REP 8TH DISTRICT,,,yes,,
OHIO,STATE HOUSE,009,DUSTIN D RUSSELL,DUSTIN D. RUSSELL,REPUBLICAN,,,
OHIO,STATE HOUSE,009,JANINE BOYD,JANINE BOYD,DEMOCRAT,,,
OHIO,STATE HOUSE,009,STATE REP 9TH DISTRICT,,,yes,,
OHIO,STATE HOUSE,010,STATE REP 10TH DISTRICT,,,yes,,
OHIO,STATE HOUSE,010,TERRENCE UPCHURCH,TERRENCE UPCHURCH,DEMOCRAT,,,
OHIO,STATE HOUSE,011,STATE REP 11TH DISTRICT,,,yes,,
OHIO,STATE HOUSE,011,STEPHANIE HOWSE,STEPHANIE HOWSE,DEMOCRAT,,,
OHIO,STATE HOUSE,012,JERRY V POWELL,JERRY V. POWELL,REPUBLICAN,,,
OHIO,STATE HOUSE,012,JUANITA BRENT,JUANITA BRENT,DEMOCRAT,,,
